iter	Passed	Remaining
0	122	122219
1	125	62756
2	128	42803
3	131	32786
4	133	26612
5	135	22469
6	137	19494
7	138	17204
8	140	15432
9	141	14029
10	143	12894
11	144	11913
12	146	11087
13	147	10369
14	148	9749
15	149	9208
16	150	8731
17	152	8312
18	153	7920
19	154	7565
20	155	7246
21	156	6978
22	157	6711
23	158	6460
24	159	6230
25	160	6016
26	161	5819
27	162	5635
28	163	5463
29	163	5301
30	164	5150
31	165	5008
32	166	4873
33	167	4747
34	167	4626
35	168	4514
36	169	4406
37	170	4312
38	171	4218
39	172	4128
40	172	4045
41	173	3963
42	174	3884
43	175	3809
44	176	3736
45	176	3667
46	177	3602
47	178	3538
48	179	3477
49	179	3418
50	180	3361
51	181	3307
52	182	3254
53	182	3203
54	183	3154
55	184	3114
56	185	3072
57	186	3030
58	187	2987
59	188	2947
60	188	2907
61	189	2869
62	190	2832
63	192	2812
64	193	2781
65	194	2747
66	194	2713
67	195	2680
68	196	2649
69	197	2618
70	198	2592
71	199	2565
72	199	2538
73	200	2512
74	201	2487
75	202	2461
76	203	2435
77	203	2409
78	204	2384
79	205	2360
80	206	2337
81	206	2314
82	207	2288
83	207	2267
84	208	2246
85	209	2225
86	210	2205
87	210	2185
88	212	2170
89	213	2159
90	214	2142
91	215	2125
92	216	2107
93	216	2090
94	217	2073
95	218	2056
96	219	2039
97	219	2023
98	220	2007
99	221	1992
100	222	1976
101	222	1961
102	223	1946
103	224	1931
104	225	1918
105	225	1903
106	226	1894
107	228	1883
108	228	1871
109	229	1859
110	230	1847
111	231	1834
112	232	1822
113	232	1810
114	233	1799
115	234	1787
116	235	1775
117	235	1763
118	236	1752
119	237	1741
120	238	1730
121	238	1718
122	239	1707
123	240	1697
124	243	1705
125	244	1697
126	245	1686
127	246	1677
128	246	1667
129	247	1657
130	248	1648
131	249	1638
132	249	1629
133	250	1620
134	251	1611
135	252	1602
136	252	1593
137	253	1584
138	254	1575
139	255	1567
140	255	1559
141	256	1551
142	257	1544
143	258	1537
144	259	1530
145	260	1522
146	261	1514
147	261	1506
148	262	1499
149	263	1491
150	264	1484
151	264	1477
152	265	1470
153	266	1462
154	267	1455
155	267	1448
156	268	1441
157	269	1435
158	270	1428
159	272	1431
160	273	1426
161	274	1420
162	275	1413
163	276	1407
164	276	1401
165	277	1395
166	278	1389
167	279	1382
168	279	1376
169	280	1370
170	281	1364
171	282	1358
172	282	1352
173	283	1346
174	284	1341
175	285	1335
176	286	1332
177	287	1327
178	288	1322
179	289	1318
180	290	1312
181	290	1306
182	291	1301
183	292	1296
184	293	1291
185	293	1285
186	294	1280
187	295	1275
188	296	1270
189	296	1265
190	297	1260
191	298	1255
192	299	1250
193	299	1245
194	301	1246
195	303	1245
196	304	1242
197	306	1240
198	307	1236
199	307	1231
200	308	1227
201	309	1222
202	310	1217
203	311	1213
204	311	1209
205	312	1205
206	313	1200
207	314	1196
208	315	1193
209	316	1190
210	317	1186
211	318	1183
212	319	1178
213	319	1174
214	320	1170
215	321	1166
216	322	1162
217	323	1158
218	323	1154
219	324	1151
220	325	1149
221	326	1145
222	327	1141
223	328	1137
224	329	1133
225	330	1132
226	331	1129
227	332	1125
228	333	1122
